model_id,likes,downloads,last_modified,created_at,pipeline_tag,library,architecture,parameters,type,license,languages,dataset,epochs,batch_size,optimizer,learning_rate
deepseek-ai/DeepSeek-R1,13346,4843689,2025-03-27T04:01:59.000Z,2025-01-20T03:46:07.000Z,text-generation,transformers,,1000000000.0,base,mit,,,,,,
meta-llama/Meta-Llama-3-8B,6550,2203451,2024-09-27T15:52:33.000Z,2024-04-17T09:35:16.000Z,text-generation,transformers,llama,,base,,en,,,,,
meta-llama/Llama-3.1-8B-Instruct,5918,10490412,2024-09-25T17:00:57.000Z,2024-07-18T08:56:00.000Z,text-generation,transformers,llama,,instruction-tuned,,"en,de,fr,it,pt,es",,,,,
openai/gpt-oss-120b,4817,4919457,2025-08-26T17:25:03.000Z,2025-08-04T22:33:06.000Z,text-generation,transformers,gpt,120000000000.0,base,apache-2.0,,,,,,
meta-llama/Llama-2-7b-chat-hf,4765,334526,2024-04-17T08:40:48.000Z,2023-07-13T16:45:23.000Z,text-generation,transformers,llama,,chat,,en,,,,,
openai/gpt-oss-20b,4648,8159102,2025-08-26T17:25:47.000Z,2025-08-04T22:33:29.000Z,text-generation,transformers,gpt,20000000000.0,base,apache-2.0,,,,,,
meta-llama/Meta-Llama-3-8B-Instruct,4547,1652400,2025-06-18T23:49:51.000Z,2024-04-17T09:35:12.000Z,text-generation,transformers,llama,,instruction-tuned,,en,,,,,
meta-llama/Llama-2-7b,4492,243,2024-04-17T08:12:44.000Z,2023-07-09T07:34:35.000Z,text-generation,,llama,,base,,en,,,,,
deepseek-ai/DeepSeek-V4-Pro,4397,5281601,2026-05-06T04:18:44.000Z,2026-04-22T06:04:45.000Z,text-generation,transformers,,49000000000.0,base,mit,,,,,** we employ the muon optimizer for faster convergence and greater training stability.,
mistralai/Mistral-7B-v0.1,4095,892976,2025-07-24T16:44:02.000Z,2023-09-20T13:03:50.000Z,text-generation,transformers,mistral,7000000000.0,base,apache-2.0,- en,,,,,
deepseek-ai/DeepSeek-V3,4077,1130915,2025-03-27T04:01:45.000Z,2024-12-25T12:52:23.000Z,text-generation,transformers,,671000000000.0,base,,,,,,,
microsoft/phi-2,3458,528880,2025-12-08T11:35:44.000Z,2023-12-13T21:19:59.000Z,text-generation,transformers,phi,2700000000.0,base,mit,- en,,,,,
google/gemma-7b,3335,101563,2024-06-27T14:09:40.000Z,2024-02-08T22:36:43.000Z,text-generation,transformers,gemma,,base,,,,,,,
openai-community/gpt2,3264,16815550,2024-02-19T10:57:45.000Z,2022-03-02T23:29:04.000Z,text-generation,transformers,gpt,4000000.0,base,mit,en,,,,,
mistralai/Mistral-7B-Instruct-v0.2,3150,3084264,2025-07-24T16:57:21.000Z,2023-12-11T13:18:44.000Z,text-generation,transformers,mistral,7000000000.0,instruction-tuned,apache-2.0,,,,,,
deepseek-ai/DeepSeek-V3-0324,3120,546743,2025-03-27T04:01:53.000Z,2025-03-24T09:28:22.000Z,text-generation,transformers,,,base,mit,,,,,,
bigcode/starcoder,2950,23844,2024-10-08T20:53:18.000Z,2023-04-24T12:36:52.000Z,text-generation,transformers,gpt,,base,,,,,,,
Qwen/QwQ-32B,2920,62930,2025-03-11T12:15:48.000Z,2025-03-05T14:16:59.000Z,text-generation,transformers,qwen,32000000000.0,base,apache-2.0,- en,,,,,
meta-llama/Llama-3.3-70B-Instruct,2786,943601,2024-12-21T18:28:01.000Z,2024-11-26T16:08:47.000Z,text-generation,transformers,llama,,instruction-tuned,,"en,fr,it,pt,es,de",,,,,
deepseek-ai/DeepSeek-R1-0528,2450,4401367,2025-05-29T11:37:44.000Z,2025-05-28T09:46:42.000Z,text-generation,transformers,,1000000.0,base,mit,,,,,,
tiiuae/falcon-40b,2437,32393,2024-08-09T07:48:37.000Z,2023-05-24T12:08:30.000Z,text-generation,transformers,falcon,40000000000.0,base,apache-2.0,- en,,,,,
xai-org/grok-1,2412,518,2024-03-28T16:25:32.000Z,2024-03-17T05:47:21.000Z,text-generation,grok,,314000000000.0,base,apache-2.0,,,,,,
meta-llama/Llama-3.2-1B,2411,2225294,2024-10-24T15:08:03.000Z,2024-09-18T15:03:14.000Z,text-generation,transformers,llama,,base,,"en,de,fr,it,pt,es",,,,,
moonshotai/Kimi-K2-Instruct,2362,785140,2026-04-23T02:08:36.000Z,2025-07-11T00:55:12.000Z,text-generation,transformers,,6000000000.0,instruction-tuned,other,,,,,"we apply the muon optimizer to an unprecedented scale, and develop novel optimization techniques to resolve instabilities while scaling up.",
meta-llama/Llama-2-7b-hf,2310,811294,2024-04-17T08:40:16.000Z,2023-07-13T16:16:13.000Z,text-generation,transformers,llama,,base,,en,,,,,
microsoft/phi-4,2245,942756,2025-11-24T16:57:37.000Z,2024-12-11T11:47:29.000Z,text-generation,transformers,phi,4000000.0,base,mit,- en,,,,,
meta-llama/Llama-3.1-8B,2216,1263595,2024-10-16T22:00:37.000Z,2024-07-14T22:20:15.000Z,text-generation,transformers,llama,,base,,"en,de,fr,it,pt,es",,,,,
meta-llama/Llama-2-70b-chat-hf,2205,143068,2024-04-17T08:41:06.000Z,2023-07-14T18:02:07.000Z,text-generation,transformers,llama,,chat,,en,,,,,
meta-llama/Llama-3.2-3B-Instruct,2161,2030290,2024-10-24T15:07:29.000Z,2024-09-18T15:19:20.000Z,text-generation,transformers,llama,,instruction-tuned,,"en,de,fr,it,pt,es",,,,,
zai-org/GLM-5,2090,121778,2026-04-05T07:48:51.000Z,2026-02-11T04:55:46.000Z,text-generation,transformers,,355000000000.0,base,mit,- en,,,,,
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,2069,10502,2025-04-13T04:12:19.000Z,2024-10-12T02:37:13.000Z,text-generation,transformers,llama,2000000000.0,instruction-tuned,llama3.1,- en,,,,,
zai-org/GLM-4.7,2035,59608,2026-01-29T08:05:58.000Z,2025-12-22T07:45:52.000Z,text-generation,transformers,,4700000000.0,base,mit,- en,,,,,
Qwen/Qwen2.5-Coder-32B-Instruct,2022,1082423,2025-01-12T02:02:22.000Z,2024-11-06T07:49:50.000Z,text-generation,transformers,qwen,32000000000.0,instruction-tuned,apache-2.0,- en,,,,,
HuggingFaceH4/zephyr-7b-beta,1844,180300,2024-10-16T11:48:13.000Z,2023-10-26T11:25:49.000Z,text-generation,transformers,mistral,7000000000.0,base,mit,- en,name: ai2 reasoning challenge (25-shot),3,,"adam with betas=(0.9,0.999) and epsilon=1e-08",
mistralai/Mistral-7B-Instruct-v0.1,1834,290868,2025-07-24T16:44:46.000Z,2023-09-27T14:31:52.000Z,text-generation,transformers,mistral,7000000000.0,instruction-tuned,apache-2.0,,,,,,
CohereLabs/c4ai-command-r-plus,1787,3206,2025-04-16T03:03:37.000Z,2024-04-03T13:27:04.000Z,text-generation,transformers,,,base,,"en,fr,de,es,it,pt",,,,,
Qwen/QwQ-32B-Preview,1741,12681,2025-01-12T01:58:42.000Z,2024-11-27T15:50:55.000Z,text-generation,transformers,qwen,32000000000.0,base,apache-2.0,- en,,,,,
zai-org/GLM-4.7-Flash,1733,980218,2026-01-29T08:06:19.000Z,2026-01-19T06:28:10.000Z,text-generation,transformers,,30000000000.0,base,mit,- en,,,,,
mattshumer/Reflection-Llama-3.1-70B,1710,104,2024-09-24T15:28:41.000Z,2024-09-05T18:29:50.000Z,text-generation,transformers,llama,3100000000.0,base,llama3.1,,,,,,
zai-org/GLM-5.1,1706,140721,2026-05-13T08:10:58.000Z,2026-04-03T09:28:47.000Z,text-generation,transformers,,5000000000.0,base,mit,- en,,,,,
microsoft/Phi-3-mini-128k-instruct,1699,244767,2025-12-10T20:21:52.000Z,2024-04-22T16:26:23.000Z,text-generation,transformers,phi,3800000000.0,instruction-tuned,mit,- en,,,,,
moonshotai/Kimi-K2-Thinking,1699,194056,2026-01-30T04:49:39.000Z,2025-11-04T08:25:31.000Z,text-generation,transformers,,6000000000.0,base,other,,,,,,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,1597,2245204,2024-03-17T05:07:08.000Z,2023-12-30T06:27:30.000Z,text-generation,transformers,llama,627000000000.0,chat,apache-2.0,- en,,,,,
